IDNAME_C|1001|1002|1003|1004|1005|1006|1007|1008|1009|1010
C,000||12.2284528748|||||28.9810768401|||28.8230237344
C,001|||-26.4613178496|||-40.1505065059|-34.3765964022|33.8971053891|-19.4166866402|
C,002||-9.72293904962|41.1057594103|-18.9599277054|12.8363682694|42.9311475131|-2.02950291532|||13.4413971448
C,003|17.6926556281|||-4.48417848834|-24.3832705454|35.8164230291|42.857246324|||-45.464943158
C,004|-44.5195141001|-34.1060277856|26.2596656897|31.6991531058|||-37.2438574543|-35.28582317|49.6487227333|-26.6478270561
C,005|-41.6790828591|-39.1330052236|||||0.561672776851||0.422715519086|-3.65330613498
C,006|10.7048920531|-37.1206385359|20.0453889188|28.7674924087||20.8318851635|-22.3521850898|7.87443980741|34.301040827|
C,007|16.9643516045|-9.54506763078|-16.1744712973|5.17636380064||-24.0419075171|||-32.9618238508|-43.1487094636
C,008||20.6878096386|||-32.3806523355||19.9784415206|0.847799003071|-5.49925774393|27.0323213077
C,009|22.153056668|-40.0416476408|-42.0036821062||10.7102405204|26.5874957175|7.26663088152|24.5183721557|-10.7809841085|35.6625290704
C,010|-33.6085602471|||-9.30037735088||46.2479798732|48.314193929|42.8430309889|-12.7725584484|37.4513485146
C,011||-23.3639160575|19.9484784075||-29.2435288845||15.0500113455||-14.0410235242|19.7792354592
C,012|||-14.5635415009||34.8417066545|24.5737421391|-26.7962194879|29.6082721438|20.0018167811|-45.8139150137
C,013||48.2402578975||-31.8025671651||-7.17414850249||2.47343882043||-11.8420916084
C,014|-48.9602233055|-38.0529835016|-18.8055192057||44.4568888243||-36.548198816||-47.2736217315|10.7163186412
C,015|-32.2606074215|||45.1051671902||||9.71990223714|-10.1157212821|-12.2350039033
C,016|2.95953037902||||45.7639454447|-22.7564454947|-12.2662005423|1.92473042029|9.85531762723|6.17111975377
C,017|-0.802237539862||-10.5033613374|-14.7859491627|11.7792396628||18.8552828875|||-32.7491396093
C,018|-11.7708515425||-36.9097548977|37.2291237333||-20.4442697257|33.2436697682|13.2266881048|-21.1122329238|17.3625418284
C,019||22.6322506228|-36.175977169||49.8905487775|43.5156195222||-5.72810450548||-36.5126827328
C,020||-21.0064071747|-13.4907398605||||16.8118543295|||
C,021|||30.8511082918|-5.82812339834|27.0303821474||-12.5143106583|14.5433793005|3.72164597999|
C,022|28.8332996456|-28.3318266521||-2.10100307167|27.026781593||||33.1641053276|-16.816100842
C,023|23.0187514024|7.11321449672||||7.07248853739|-27.1756092276|28.3098931879|10.3338445634|
C,024|||-30.8742850962|-44.8107732839|||||28.6389899425|
C,025||35.6749134059||45.8067041538|0.115859056206|34.9127022701|||25.8146626268|-49.6544847745
C,026|4.65863876407||-29.6609986134|-19.7573474952|22.3534946971||48.2872000079|-22.7953146172|-20.1401701704|-21.1632985157
C,027|-4.23906585551|5.65677396961|-43.5695330661|45.3236804966||24.2040955242|20.685362914|-36.6264054645|0.762737251304|-45.2972385984
C,028||34.2320104784|-49.3307296743|-35.1895677199|-5.81354067836|-14.2168311207|-42.6002458455|-40.2344460332|-33.9735146694|
C,029|-4.1023510877|-9.70409960521||13.6478848559|-32.2095101102||37.3940098023|-22.3072773593|18.9772919398|
C,030||26.2598779658|-45.3038036094||||-22.5586630971||-21.2603997548|
C,031|||5.54867432449||-49.6718961328|14.9129812406|37.2698629669|27.422281289|-5.20819617413|-7.94462664407
C,032||-48.7722675873||10.5920831529|-34.7369144858||||24.1740834337|
C,033|46.3400815521|12.8487382064|26.0949981145|-24.4250653209|-5.79390769139|-45.2179262335||-0.733601432899|39.1645079372|
C,034|-8.36684260868|7.89088100066|-25.5037515639|21.8200007099||-21.8442838693|22.2208254899|||20.5527356606
C,035|38.3493547128|-5.92879981942||-18.6384794477|22.2662271917|-33.3411208802|||12.7227391407|21.4534258149
C,036|-49.7255892824|-9.99764030244||-14.9277579371|-9.36148781|3.51055212857||||-8.97630495418
C,037|49.448048233|4.48622224891|23.5136206863||-13.109451296|||35.3850034949||
C,038||-32.1401969563||25.4469297374|-47.4461328442||||-20.3093913565|
C,039|-3.89639061065||-0.669081212179|-21.4037655439|12.1798956696||16.777176191|-4.00205892642||
C,040|||1.00113842309|8.25211680249|-36.0712763228|47.5881917266||8.09193271481|-19.6672882498|16.9826935511
C,041||36.0242914127|4.44560030614||13.7454785471|4.93244140464||18.0125154229|9.7023366156|31.5129220143
C,042|-23.5898203895|-26.7243164961||18.7448600855|-32.3716774749|-21.8694462049|9.91790086082||26.2209286134|-16.6860652864
C,043|25.9016327463|-38.5386970862|45.8596304222||45.9602259727|||-36.673220923||22.308256292
C,044|-35.6086665297|||36.7854388627|-40.0974927883|||40.7684673788|-9.18842417631|
C,045|||-10.2509473149|-49.3514214249|49.1231522836|42.351009674||-31.2346078474|-45.9334140427|-34.6117439561
C,046|-39.8930143438||-2.68313697544||-17.3823832779|-21.2773150715|-22.0873152861||-41.5796190128|29.7849623147
C,047||-48.5742514898|-2.88029628531||33.6202851082||-32.7120742769|22.1104807736||
C,048|-8.6042705037||0.690836361638|-36.0011397794||-26.4065499122|47.5572949328|25.5117895685|-22.0733210365|-42.0582603484
C,049|-47.9474089969|||-19.0980361317|-4.54503572142|-27.275753126|-4.27009403526|-37.8148372388|-30.3515930924|
C,050||-43.346190695|-3.43693342506|||||41.4180762786||33.4337059534
