IDNAME_C|1001|1002|1003|1004|1005|1006|1007|1008|1009|1010
C,000||-20.8673708435|||-12.9003629755||17.0889585996|||4.21643837609
C,001|-28.6981178504||-19.2048989598|||25.8810554315|12.3074485566|-1.79689056586|22.4077477336|
C,002||34.7238606484|26.1547168615|10.6935279609|32.9416157438|-26.4246451077|-17.1171082515|23.9550427973|-43.4115639687|-22.3366364602
C,003|28.5640536479|||-38.876698453|27.2328669234|-2.65083564467|12.6842251761|||
C,004||-2.39414659891|5.78531125667|-17.6062867661|46.7740890791|-44.2678367401|-10.6283253456||-27.077670688|1.18190311428
C,005|-12.6562461448|39.5590010157|||-37.5098790228|24.331615905|-23.197457754||-10.2828420845|
C,006|38.8211616677|35.1559877132|-7.21143828295|22.2445473797||-34.7534104328|19.83589058|3.99227639327||
C,007|||||-32.2754524911||||-23.4564750566|2.65267703302
C,008||45.9339241651|||-42.4188112425|46.620575757||-22.5781974854|25.7109288649|-46.0750926059
C,009|-38.4783399183|-41.740856479|34.5312650525||-27.427133822||44.2221769664|15.2959778542|47.0522418645|-26.7334345515
C,010|-22.2129871743||37.9243413498|4.76723247255|36.4185571052|8.43774828533|-40.1353761228|41.7752857264|-15.7154790115|18.8105060967
C,011||4.23455985502|22.2282750249||-44.4030735873||-30.2930792236||1.26457506353|
C,012|18.5433234474||-25.6512572249||15.7641687069|31.059591258||16.5635086832|-27.4554280079|2.75479815305
C,013|||-48.3091184007|||-16.3728681409||31.5201821939||13.8932907288
C,014||44.1329410276||25.6190431475|-1.238276955||-37.8748128371||-20.5111396965|-11.6660216106
C,015|22.1851233223||-12.9119325234|0.941553207514||-15.9678199061|26.4653734444||39.2395746755|21.5816746329
C,016|-19.3540282598||||-33.6067084014|-16.2491097552|10.6097776326|16.9690338158|-44.8391774376|
C,017|30.2126599668|5.07406778289|-19.2085374595|33.9270267257|2.7686989592||11.0649984079|||
C,018|||-28.4917701056|40.0209407745|9.82828228426|-5.98502136909||16.9829066847|28.9964923101|-21.1727474717
